"OrderID";"ProductArticleNumber";"ProdNumCount"
1;"PG-3344";1
1;"TK-1122";2
2;"KR-5566";3
3;"BL-7788";1
4;"QS-9900";5
5;"LM-1123";2
6;"FP-2234";1
7;"TT-3345";3
8;"LF-4456";2
9;"EF-5567";4
10;"LC-5050";1
11;"TK-1122";2
12;"PG-3344";1
13;"KR-5566";3
14;"BL-7788";1
15;"QS-9900";5
16;"LM-1123";2
17;"FP-2234";1
18;"TT-3345";3
19;"LF-4456";2
20;"EF-5567";4
21;"LC-5050";1
22;"TK-1122";2
23;"PG-3344";1
24;"KR-5566";3
25;"BL-7788";1
26;"QS-9900";5
27;"LM-1123";2
28;"FP-2234";1
29;"TT-3345";3
30;"LF-4456";2
31;"EF-5567";4
32;"LC-5050";1
33;"TK-1122";2
34;"PG-3344";1
35;"KR-5566";3
36;"BL-7788";1
37;"QS-9900";5
38;"LM-1123";2
39;"FP-2234";1
40;"TT-3345";3
41;"LF-4456";2
42;"EF-5567";4
43;"LC-5050";1
44;"TK-1122";2
45;"PG-3344";1
46;"KR-5566";3
47;"BL-7788";1
48;"QS-9900";5
49;"LM-1123";2
50;"FP-2234";1
